Date,Carbon Price,Vol.,Oil,Coal Price,Gas,DAX
17/04/2015,6.84,0.56,55.7400016784668,59.95,2.634000062942505,11688.7001953125
20/04/2015,7.13,1.48,56.380001068115234,59.9,2.5360000133514404,11891.91015625
21/04/2015,7.08,0.48,55.2599983215332,59.75,2.575000047683716,11939.580078125
22/04/2015,7.09,0.08,56.15999984741211,59.55,2.6059999465942383,11867.3701171875
23/04/2015,7.25,1.33,57.7400016784668,59.6,2.5309998989105225,11723.580078125
24/04/2015,7.28,0.03,57.150001525878906,59.65,2.5309998989105225,11810.849609375
27/04/2015,7.15,0.4,56.9900016784668,59.4,2.490000009536743,12039.16015625
28/04/2015,7.35,0.03,57.060001373291016,59.4,2.5169999599456787,11811.66015625
29/04/2015,7.46,0.0,58.58000183105469,59.95,2.6059999465942383,11432.7197265625
30/04/2015,7.39,0.02,59.630001068115234,59.8,2.750999927520752,11454.3798828125
05/05/2015,7.55,0.01,60.400001525878906,60.15,2.7799999713897705,11327.6796875
06/05/2015,7.53,0.03,60.93000030517578,60.0,2.7760000228881836,11350.150390625
07/05/2015,7.43,0.15,58.939998626708984,59.65,2.7339999675750732,11407.9697265625
08/05/2015,7.53,0.04,59.38999938964844,59.55,2.880000114440918,11709.73046875
11/05/2015,7.62,0.59,59.25,59.5,2.802000045776367,11673.349609375
12/05/2015,7.59,0.5,60.75,59.35,2.8970000743865967,11472.41015625
13/05/2015,7.64,0.0,60.5,59.35,2.934999942779541,11351.4599609375
14/05/2015,7.55,0.03,59.880001068115234,59.15,3.007999897003174,11559.8203125
15/05/2015,7.59,2.54,59.689998626708984,59.05,3.0160000324249268,11447.0302734375
18/05/2015,7.6,0.0,59.43000030517578,59.05,3.009999990463257,11594.2802734375
19/05/2015,7.37,0.04,57.2599983215332,58.9,2.947999954223633,11853.330078125
20/05/2015,7.35,0.04,58.97999954223633,58.9,2.9149999618530273,11848.4697265625
21/05/2015,7.3,0.02,60.720001220703125,58.75,2.9489998817443848,11864.58984375
22/05/2015,7.3,0.04,59.720001220703125,58.75,2.88700008392334,11815.009765625
26/05/2015,7.22,0.04,58.029998779296875,58.75,2.822000026702881,11625.1298828125
27/05/2015,7.17,0.05,57.5099983215332,58.8,2.815000057220459,11771.1298828125
28/05/2015,7.18,0.07,57.68000030517578,58.8,2.7060000896453857,11677.5703125
29/05/2015,7.32,1.05,60.29999923706055,58.85,2.6419999599456787,11413.8203125
